text,sentiment,negative_reason
"The Canadian election is a power grab by PM Trudeau, yes -- to take it away from the opposition leaders who have chosen obstruction (20 non-confidence motions) and disinformation in the middle of a worldwide pandemic. Yes, no one wanted a vote; the opposition antics forced it.",negative,calling election early
"I do hope Trudeau loses the Canadian election tomorrow , called a snap one thinking he’d romp it.. Seems the people there don’t like a Black face hypocrite, super wokist &amp; COVID restriction groupie..  Let’s hope the polls are right, might make our Government think again.",negative,covid 
"Dear Canadians, This election is a test of how progressive we are. Whether we stand by science, women’s and BIPOC rights, equality, public healthcare &amp; education, the environment. Whether we stand up against hate. We have so much to lose. Don’t let us fall back. #cdnpoli #elxn44",positive,
Canadian friends: Never forget that Trudeau had 2 more years on his mandate + called a completely unnecessary election right when vaccine mandates were being rolled out - a moment of extreme political volatility. He gambled the country all so he could be less accountable. #Elxn44,negative,calling election early
Sorry @theJagmeetSingh I have voted #NDP all my life but in this election I am fighting for my freedoms as a Canadian. I voted last Saturday for @MaxineBernier of the @peoplespca #ppc #VotePPC2021 #VoteForHumanRights #voteforfreedom #maximebernier #PurpleReign #freedom 🇨🇦💜🇨🇦💜🇨🇦,positive,
"Vaccines &amp; guns are key this election because O'Toole has no serious plan to get all Canadians vaccinated (he can't even get his candidates vaccinated) &amp; he is playing games on guns so he can deliver for the fun lobby.  But many Canadians (and for me), climate is the issue. So...",negative,covid 
"I’m sorry, moderators can respond but leadership candidates can’t?   This debate is a farce and frankly a disservice to Canadians, and after the awful 2019 formats I hope the next election we see new moderation format. They’ve had two goes, that’s enough. #elxn44 #cdnpoli",negative,others
"I have to say this. I've been skeptical and critical of mainstream Canadian journalism, but I have never seen this level of trying to choose the winner/influence the outcome of an election as I have with this one. I feel objectivity is a lost art for many in #cdnmedia. #cdnpoli",negative,others
If Canadians #VotePPC and support @MaximeBernier that would be a blow to the UN and the Globalists and The Great Reset and Agenda 2030!  It could also be a catalyst for freedom that countries around the world (including the US) would respond too!  This election is that important!,positive,
Justin Trudeau literally had rocks thrown at him yet continued showing &amp; answered questions during an election campaign.  Erin O’Toole? Hiding from the media the day before an election because he doesn’t want to answer to the legitimate concerns that Canadians have. #elxn44,positive,
